x,base_cdf,fp_monotone_cdf,fp_nonmonotone_cdf
-2.17,0.015163431004461716,0.0029435024804631135,0.0026227433726693657
-2.16,0.015550523570747543,0.0030221968413197816,0.0026909954840932796
-2.15,0.0159460485143704,0.003102774783664236,0.0027608394988019856
-2.1399999999999997,0.01635014911313115,0.003185276177320487,0.0028323105665335035
-2.13,0.016762970017699826,0.003269741643397019,0.002905444777124142
-2.12,0.017184657237450617,0.0033562125680137627,0.0029802792001902938
-2.11,0.017615358125441904,0.0034447311163212967,0.0030568519268252313
-2.0999999999999996,0.018055221362530505,0.0035353402468190557,0.003135202113395132
-2.09,0.018504396940609666,0.0036280837259794444,0.0032153700275203236
-2.08,0.01896303614496054,0.0037230061431847684,0.0032973970963294523
-2.0700000000000003,0.019431291535707253,0.003820152925983968,0.003381325957075861
-2.06,0.019909316928366044,0.003919570355676176,0.0034672005102069554
-2.05,0.020397267373479196,0.00402130558322816,0.003555065974978692
-2.04,0.02089529913532496,0.004125406645532728,0.003644968947708556
-2.0300000000000002,0.021403569669694988,0.004231922482015188,0.003736957462761473
-2.02,0.021922237600731143,0.0043409029515949936,0.003831081056364001
-2.01,0.022451462696814063,0.004452398850009627,0.003927390833342895
-2.0,0.02299140584549616,0.004566461927507846,0.00402593953688467
-1.9899999999999998,0.023542229027472262,0.004683144906919307,0.004126781621413129
-1.98,0.02410409528958145,0.004802501502107606,0.0042299733286819035
-1.9699999999999998,0.024677168716834227,0.004924586436813655,0.004335572767178949
-1.96,0.025261614403459438,0.00504945546389629,0.004443639994939506
-1.9500000000000002,0.025857598422966123,0.005177165384976911,0.0045542371058634
-1.94,0.02646528779721567,0.005307774070494824,0.004667428319631553
-1.9300000000000002,0.027084850464500366,0.005441340480179862,0.004783280075315316
-1.92,0.027716455246624905,0.00557792468394873,0.004901861128770613
-1.9100000000000001,0.02836027181498791,0.005717587883231318,0.005023242653906937
-1.9,0.029016470655661125,0.005860392432733122,0.005147498347918889
-1.8900000000000001,0.029685223033464436,0.006006401862639636,0.005274704540565257
-1.88,0.03036670095503558,0.006155680901268426,0.0054049403075774865
-1.87,0.031061077130893792,0.006308295498174325,0.005538287588275876
-1.8599999999999999,0.03176852493649742,0.006464312847712904,0.00567483130746782
-1.85,0.032489218372296035,0.006623801413067156,0.0058146595016979686
-1.8399999999999999,0.0332233320227782,0.00678683095074194,0.005957863449915265
-1.83,0.033971041014516756,0.006953472535530417,0.006104537808616364
-1.8199999999999998,0.03473252097321412,0.007123798585956385,0.006254780751519018
-1.81,0.035507947979750466,0.007297882890195949,0.006408694113812497
-1.7999999999999998,0.03629749852523889,0.0074758006324816065,0.0065663835410251555
-1.79,0.03710134946509174,0.007657628419991331,0.00672795864254156
-1.7799999999999998,0.037919677972103355,0.007843444310224755,0.006893533149793546
-1.77,0.038752661488554885,0.008033327838868051,0.007063225079140683
-1.7599999999999998,0.039600477677347944,0.008227360048148561,0.007237156899446339
-1.75,0.040463304372173964,0.008425623515679569,0.00741545570434552
-1.7399999999999998,0.041341319526727434,0.008628202383795096,0.007598253389190003
-1.73,0.04223470116297161,0.008835182389373836,0.007785686832645073
-1.7199999999999998,0.043143627318465945,0.009046650894150726,0.007977898082900215
-1.71,0.04406827599276544,0.009262696915513822,0.008175034548443589
-1.6999999999999997,0.04500882509290275,0.009483411157783478,0.008377249193336867
-1.69,0.04596545237796457,0.009708886043969906,0.008584700736913113
-1.6800000000000002,0.04693833540277469,0.00993921574800439,0.0087975538578059
-1.67,0.04792765146069676,0.010174496227438493,0.0090159794022026
-1.6600000000000001,0.04893357752557057,0.010414825256604658,0.009240154596198891
-1.65,0.04995629019279656,0.010660302460230612,0.009470263262115117
-1.6400000000000001,0.05099596561958377,0.010911029347498892,0.00970649603861786
-1.63,0.052052779464377454,0.011167109346541786,0.009949050604472345
-1.62,0.05312690682548321,0.01142864783936081,0.010198131905732898
-1.6099999999999999,0.05421852217890529,0.011695752197158616,0.010453952386159619
-1.6,0.05532779931541742,0.011968531816070058,0.010716732220629886
-1.5899999999999999,0.05645491127688554,0.012247098153277798,0.010986699551293076
-1.58,0.057600030291862156,0.01253156476349648,0.011264090726196276
-1.5699999999999998,0.05876332771047313,0.012822047335808188,0.01154915054008745
-1.56,0.05994497393861848,0.013118663730830324,0.011842132477080956
-1.5499999999999998,0.06114513837150921,0.013421534018195657,0.012143298954848081
-1.54,0.06236398932656332,0.01373078051432266,0.012452921569972792
-1.5299999999999998,0.06360169397568473,0.014046527820452681,0.012771281344090014
-1.52,0.06485841827694944,0.014368902860928803,0.013098668970400497
-1.5099999999999998,0.06613432690572436,0.014698034921689524,0.013435385060132907
-1.5,0.06742958318524465,0.015034055688948628,0.013781740388500066
-1.4899999999999998,0.06874434901667618,0.015377099288030759,0.014138056139672435
-1.48,0.07007878480869073,0.01572730232233035,0.014504664150267963
-1.4699999999999998,0.07143304940658175,0.016084803912359533,0.014881907150833497
-1.46,0.07280730002094979,0.016449745734848847,0.015270139004768918
-1.4499999999999997,0.07420169215598679,0.01682227206186218,0.015669724944121426
-1.44,0.07561637953738981,0.017202529799885662,0.01608104180165363
-1.4300000000000002,0.07705151403993449,0.01759066852884772,0.016504478238565722
-1.42,0.07850724561474037,0.017986840541025513,0.016940434967228933
-1.4100000000000001,0.07998372221625985,0.018391200879790594,0.017389324968264768
-1.4,0.08148108972902343,0.018803907378144375,0.017851573701282358
-1.3900000000000001,0.08299949189417527,0.019225120696991546,0.01832761930856468
-1.38,0.08453907023583222,0.01965500436309728,0.018817912810973506
-1.37,0.08609996398730176,0.020093724806671515,0.019322918295322785
-1.3599999999999999,0.08768231001719329,0.02054145139852116,0.019843113092450935
-1.35,0.08928624275545896,0.02099835648670846,0.02037898794520423
-1.3399999999999999,0.09091189411940015,0.0214646154326513,0.020931047165526243
-1.33,0.09255939343967633,0.021940406646598454,0.021499808779832277
-1.3199999999999998,0.09422886738635365,0.022425911622410286,0.022085804661832905
-1.31,0.09592043989503098,0.022921314971572654,0.02268958065195743
-1.2999999999999998,0.09763423209308153,0.02342680445636907,0.023311696662516073
-1.29,0.09937036222604902,0.02394257102213346,0.023952726767729405
-1.2799999999999998,0.10112894558423698,0.02446880882850318,0.02461325927774497
-1.27,0.10291009442953111,0.025005715279589072,0.02529389679575407
-1.2599999999999998,0.1047139179224944,0.025553491052976694,0.025995256257316864
-1.25,0.10654052204977492,0.026112340127470084,0.02671796895100093
-1.2399999999999998,0.10839000955186737,0.026682469809486572,0.027462680519437576
-1.23,0.11026247985126862,0.027264090758008473,0.028230050939901573
-1.2199999999999998,0.11215802898106889,0.0278574170079948,0.029020754483523575
-1.21,0.11407674951401935,0.028462665992153306,0.02983547965225057
-1.1999999999999997,0.11601873049211833,0.029080058560970498,0.03067492909267808
-1.19,0.11798405735675743,0.029709819000894797,0.03153981948588906
-1.1800000000000002,0.11997281187946972,0.03035217505056503,0.03243088141244788
-1.17,0.12198507209332207,0.031007357914974335,0.03334885919171435
-1.1600000000000001,0.1240209122249939,0.031675602277456624,0.034294510694661835
-1.15,0.1260804026275846,0.03235714630938069,0.03526860712940556
-1.1400000000000001,0.12816360971419177,0.03305223167743433,0.03627193279867196
-1.13,0.1302705958923033,0.03376110354837893,0.037305284828468
-1.12,0.13240141949904477,0.03448401059115249,0.03836947286724006
-1.1099999999999999,0.13455613473732547,0.03522120497619711,0.03946531875484602
-1.1,0.1367347916129247,0.03597294237188513,0.04059365616070076
-1.0899999999999999,0.13893743587256085,0.03673948193791598,0.041755330190495876
-1.08,0.14116410894298545,0.03752108631555435,0.042951196960936834
-1.0699999999999998,0.14341484787114364,0.03831802161457872,0.044182123141987446
-1.06,0.14568968526544368,0.03913055739680775,0.04544898546616053
